# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
          100     0.219318      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0811947     0.276631    0.0353604   0.00669043  -0.00131626  0.000315212            0            0            0    0.0878852     0.275315    0.0356756
          200     0.355024      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.060578     0.268026    0.0412751   0.00596975  -0.00108924   0.00038535            0            0            0    0.0665477     0.266936    0.0416605
          300     0.488395      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0732966      0.31763    0.0296861   0.00549641  -0.00094304  0.000439477            0            0            0     0.078793     0.316687    0.0301255
          400     0.624464      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0   0.00456061    0.0806236    0.0502729   0.00517236 -0.000840352  0.000447433            0            0            0   0.00973297    0.0797832    0.0507203
          500     0.762322      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0479538     0.228301    0.0464176   0.00500511 -0.000749567  0.000461564            0            0            0    0.0529589     0.227551    0.0468791
          600     0.898802      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0124805     0.120336     0.045468   0.00484389 -0.000677141   0.00048777            0            0            0    0.0173243     0.119659    0.0459557
          700      1.03447      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0357113     0.174245    0.0497729   0.00473446 -0.000641973  0.000484283            0            0            0    0.0404457     0.173603    0.0502572
          800      1.17132      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0691796     0.291643    0.0476645    0.0046818 -0.000628094  0.000485009            0            0            0    0.0738614     0.291015    0.0481495
          900      1.30899      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0675861     0.275202    0.0488186   0.00461887 -0.000622748  0.000491937            0            0            0     0.072205     0.274579    0.0493106
         1000      1.44763      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0867608      0.32046    0.0536628   0.00458754 -0.000561776  0.000501426            0            0            0    0.0913483     0.319898    0.0541642
