# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
          100     0.210648      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0869856     0.290867    0.0254304   0.00683209  -0.00155272  0.000386894            0            0            0    0.0938177     0.289314    0.0258173
          200      0.34542      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0645468     0.287533    0.0323923   0.00618993  -0.00143599  0.000399094            0            0            0    0.0707367     0.286097    0.0327914
          300     0.479057      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0880391     0.389696    0.0197123   0.00583123  -0.00133661  0.000448373            0            0            0    0.0938704     0.388359    0.0201606
          400     0.611824      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0   0.00963246     0.121348    0.0423699   0.00562327  -0.00122421  0.000471042            0            0            0    0.0152557     0.120124    0.0428409
          500     0.744528      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0624979     0.279468    0.0307546   0.00548887  -0.00116313  0.000482103            0            0            0    0.0679867     0.278305    0.0312367
          600     0.876011      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0675551     0.308491    0.0400755   0.00537103  -0.00109368  0.000543413            0            0            0    0.0729261     0.307398    0.0406189
          700      1.00454      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0401045     0.210522    0.0402032   0.00524747  -0.00105051  0.000538929            0            0            0     0.045352     0.209471    0.0407421
          800       1.1342      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0487063      0.22717    0.0374864   0.00520803  -0.00103176   0.00056852            0            0            0    0.0539143     0.226139    0.0380549
          900      1.26351      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0369003     0.190821    0.0400164   0.00512252  -0.00100265  0.000580087            0            0            0    0.0420229     0.189818    0.0405965
         1000      1.39307      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0586085     0.277623     0.035484   0.00508546 -0.000997259  0.000580238            0            0            0    0.0636939     0.276626    0.0360642
         1100      1.52389      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0909574     0.366266    0.0379309   0.00501172 -0.000980472  0.000591522            0            0            0    0.0959691     0.365285    0.0385224
         1200      1.65431      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0765112     0.322343    0.0417722   0.00501303 -0.000955224   0.00060496            0            0            0    0.0815243     0.321388    0.0423772
         1300      1.78377      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0531511     0.244112    0.0416825   0.00501743  -0.00095451  0.000622539            0            0            0    0.0581685     0.243157    0.0423051
         1400      1.91236      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0524529     0.248686    0.0413351   0.00502803 -0.000922706  0.000636421            0            0            0    0.0574809     0.247764    0.0419715
         1500      2.03952      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0690006     0.301441     0.041827   0.00502596 -0.000937618  0.000636658            0            0            0    0.0740265     0.300503    0.0424637
         1600      2.16823      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0943511     0.369393     0.041069   0.00502242 -0.000950283  0.000639028            0            0            0    0.0993735     0.368443     0.041708
         1700      2.29881      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.073732     0.302268    0.0408763   0.00502626 -0.000956444   0.00064794            0            0            0    0.0787582     0.301312    0.0415242
         1800      2.42964      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0465873     0.224762    0.0413747   0.00503686 -0.000971816  0.000649193            0            0            0    0.0516241      0.22379    0.0420239
         1900      2.56031      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0382297     0.214943     0.040777   0.00503045 -0.000946409   0.00066124            0            0            0    0.0432601     0.213996    0.0414382
         2000      2.68902      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0682086     0.302268    0.0403788   0.00501886 -0.000952819  0.000654919            0            0            0    0.0732275     0.301315    0.0410337
         2100      2.81798      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0835769     0.343055    0.0402877   0.00502104 -0.000942267  0.000657584            0            0            0    0.0885979     0.342113    0.0409453
         2200      2.94681      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0914119     0.364681    0.0414194   0.00501021 -0.000954219  0.000656317            0            0            0    0.0964221     0.363726    0.0420757
         2300      3.07556      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0543835      0.25432    0.0422831   0.00500534 -0.000941396  0.000661113            0            0            0    0.0593889     0.253379    0.0429442
         2400      3.20382      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0579304     0.266997    0.0405195   0.00498197 -0.000935885  0.000660102            0            0            0    0.0629124     0.266061    0.0411796
         2500      3.33234      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0538036     0.246467    0.0420249   0.00495926 -0.000925792  0.000660443            0            0            0    0.0587629     0.245541    0.0426853
         2600      3.46135      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0533211     0.252283     0.040813   0.00495801 -0.000925177  0.000661193            0            0            0    0.0582791     0.251358    0.0414742
         2700       3.5907      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0686183      0.29811    0.0391005   0.00494265 -0.000916313  0.000657306            0            0            0    0.0735609     0.297194    0.0397578
         2800      3.72084      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0666147     0.286895    0.0407414   0.00493027  -0.00090591  0.000654519            0            0            0     0.071545     0.285989    0.0413959
         2900      3.85259      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0816579     0.333503    0.0390061   0.00490502 -0.000890523  0.000645257            0            0            0     0.086563     0.332612    0.0396514
         3000      3.98409      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0700792     0.297049    0.0386316   0.00489038 -0.000896817  0.000641261            0            0            0    0.0749695     0.296152    0.0392729
         3100      4.11582      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0655303     0.288428    0.0391274   0.00487265 -0.000886798  0.000640626            0            0            0    0.0704029     0.287541     0.039768
         3200      4.24731      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0592146     0.261612     0.039421   0.00484226 -0.000888268  0.000640637            0            0            0    0.0640568     0.260724    0.0400617
         3300      4.37895      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0500393     0.235265    0.0399357   0.00483857 -0.000861876  0.000640709            0            0            0    0.0548778     0.234403    0.0405764
